,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,class
271,-3.893,3.69,0.079,-0.151,-1.093,-0.518,0.198,1.5830000000000002,-0.257,-0.1689999999999999,7
273,-4.16,2.814,0.557,0.604,0.584,0.477,-0.272,0.784,-0.999,-0.7809999999999999,9
274,-2.91,0.918,-0.138,-0.382,0.115,0.29,0.418,0.757,-0.898,-0.1889999999999999,10
275,-3.162,-1.137,0.3,1.44,0.688,1.645,-0.447,-0.518,-0.52,0.6409999999999999,0
276,-3.224,0.487,0.8220000000000001,1.324,0.753,0.352,-0.976,-0.562,-0.489,0.172,1
277,-2.681,0.531,0.252,1.239,0.469,-0.3389999999999999,-0.652,-0.417,-0.246,0.412,2
279,-2.861,2.091,-0.411,-0.4379999999999999,-0.643,0.317,0.8170000000000001,0.104,-0.481,-0.252,4
280,-2.445,1.503,-0.677,-0.46,-0.14,-0.002,1.014,0.061,-0.599,0.175,5
281,-3.406,2.403,1.025,0.108,-1.1,-0.316,0.099,1.541,-0.304,-0.6709999999999999,6
282,-3.958,3.922,0.15,-0.265,-1.2009999999999998,-0.249,0.2019999999999999,1.163,-0.049,-0.039,7
284,-4.188,2.637,0.502,0.552,0.735,0.395,-0.026,0.8029999999999999,-0.8740000000000001,-0.913,9
285,-2.923,0.919,-0.231,-0.307,0.075,0.265,0.4029999999999999,0.691,-1.012,-0.157,10
286,-3.39,-0.956,0.476,1.547,0.6579999999999999,1.504,-0.65,-0.604,-0.295,0.616,0
287,-3.128,0.28,0.955,1.264,0.753,0.437,-0.841,-0.517,-0.473,0.0,1
288,-2.689,0.528,0.157,1.501,0.349,-0.412,-0.49,-0.512,-0.2769999999999999,0.422,2
289,-1.693,0.807,-0.038,-0.051,-0.174,-0.372,0.1169999999999999,0.053,-0.611,0.3,3
290,-2.927,2.202,-0.532,-0.486,-0.519,0.585,0.813,-0.133,-0.475,-0.349,4
291,-2.555,1.421,-0.8,-0.233,-0.078,0.244,0.7709999999999999,-0.1119999999999999,-0.7070000000000001,0.165,5
292,-3.439,2.7110000000000003,1.067,0.0289999999999999,-1.12,-0.212,0.062,1.44,-0.353,-0.42,6
293,-4.067,3.908,-0.065,-0.3779999999999999,-1.163,0.065,0.508,1.003,0.03,-0.187,7
294,-4.0680000000000005,2.5660000000000003,-0.068,-0.152,0.126,0.5479999999999999,0.4529999999999999,0.5770000000000001,-0.5429999999999999,-0.8959999999999999,8
295,-4.314,2.322,0.58,0.2789999999999999,0.7020000000000001,0.532,-0.068,0.8140000000000001,-0.917,-1.109,9
296,-3.02,1.033,-0.238,-0.286,0.088,0.235,0.372,0.563,-1.027,-0.151,10
297,-3.485,-0.86,0.5820000000000001,1.501,0.578,1.48,-0.6629999999999999,-0.602,-0.318,0.575,0
300,-1.611,0.831,-0.0559999999999999,-0.048,-0.044,-0.423,0.289,-0.092,-0.633,0.221,3
301,-2.939,2.157,-0.451,-0.209,-0.88,0.6970000000000001,0.823,-0.035,-0.7440000000000001,-0.193,4
302,-2.842,1.3430000000000002,-0.713,0.003,0.126,0.411,0.5379999999999999,-0.077,-0.995,0.092,5
303,-3.587,3.128,0.885,-0.188,-1.164,-0.215,0.051,1.344,-0.6409999999999999,-0.253,6
305,-4.087,2.555,0.123,-0.151,0.118,0.474,0.365,0.495,-0.473,-0.8859999999999999,8
306,-4.442,2.607,0.596,0.191,0.636,0.679,-0.14,0.774,-0.828,-1.122,9
307,-2.9760000000000004,1.033,-0.222,-0.099,0.081,0.052,0.479,0.517,-1.105,-0.125,10
309,-3.278,0.324,1.047,1.152,0.725,0.168,-0.8390000000000001,-0.381,-0.687,0.013,1
310,-3.249,1.042,0.589,1.408,0.023,-0.821,-0.581,0.031,0.068,0.325,2
311,-1.596,0.885,-0.1989999999999999,0.1989999999999999,-0.115,-0.474,0.428,-0.113,-0.61,0.131,3
312,-2.986,2.072,-0.311,-0.083,-0.878,0.449,0.916,0.0819999999999999,-0.905,-0.109,4
313,-3.003,1.163,-0.45,0.3279999999999999,0.0969999999999999,0.574,0.427,-0.017,-1.146,-0.06,5
314,-3.682,3.672,0.0409999999999999,-0.508,-0.905,0.0279999999999999,0.492,0.654,-0.722,-0.318,6
315,-4.21,3.869,0.1639999999999999,-0.047,-1.251,-0.102,0.276,0.919,0.091,-0.159,7
316,-4.129,2.6860000000000004,0.308,-0.125,0.1169999999999999,0.3929999999999999,0.1989999999999999,0.308,-0.478,-0.909,8
317,-4.497,3.018,0.609,0.115,0.6729999999999999,0.7090000000000001,-0.03,0.861,-0.7040000000000001,-1.038,9
318,-2.846,1.01,-0.2189999999999999,-0.083,0.091,0.076,0.442,0.509,-1.181,-0.021,10
320,-3.543,0.624,0.674,1.413,0.653,-0.445,-0.8029999999999999,-0.256,-0.65,0.423,1
321,-3.293,0.93,0.522,1.48,0.249,-0.6609999999999999,-0.643,-0.094,-0.132,0.198,2
322,-1.7080000000000002,0.944,-0.14,0.151,-0.092,-0.481,0.22,0.034,-0.6920000000000001,0.19,3
323,-2.942,2.091,-0.353,-0.364,-0.61,0.401,0.8640000000000001,0.191,-0.764,-0.235,4
324,-3.253,1.025,-0.286,0.713,-0.036,0.539,0.476,-0.1159999999999999,-0.945,-0.108,5
325,-3.661,3.266,-0.1169999999999999,-0.237,-0.755,0.092,0.6859999999999999,0.381,-0.58,-0.687,6
326,-4.216,3.638,0.192,-0.023,-1.231,-0.32,0.128,1.03,0.061,-0.179,7
327,-4.077,2.542,0.039,0.0819999999999999,0.218,0.3929999999999999,0.324,0.3989999999999999,-0.6579999999999999,-0.964,8
328,-4.544,3.0460000000000003,1.028,-0.016,0.447,0.884,-0.094,0.885,-0.4589999999999999,-1.099,9
329,-2.7110000000000003,0.971,-0.023,0.053,0.1009999999999999,-0.148,0.382,0.476,-1.05,-0.256,10
330,-3.322,-0.303,-0.5,0.963,0.921,0.981,1.0590000000000002,-1.079,-1.004,0.1119999999999999,0
331,-3.844,1.056,-0.19,1.685,0.617,1.245,-0.8109999999999999,-0.506,-1.128,0.076,1
332,-2.665,0.772,-1.009,1.307,0.287,0.855,-0.466,-0.19,-0.721,0.407,2
333,-2.4930000000000003,1.382,-0.929,0.465,-0.369,0.002,0.187,-0.696,-0.31,0.348,3
334,-2.905,2.311,-0.6579999999999999,0.022,-1.121,0.25,0.467,0.484,-0.157,-0.6759999999999999,4
335,-2.685,1.971,-0.857,0.033,-0.638,0.484,0.143,0.159,-0.218,-0.3429999999999999,5
336,-3.389,2.762,-0.71,-0.026,-0.6409999999999999,0.1119999999999999,0.775,0.4429999999999999,-0.11,-0.979,6
337,-4.243,3.354,-0.415,0.898,-1.027,-0.281,0.5760000000000001,0.48,0.564,-0.085,7
338,-3.741,2.7,-1.5930000000000002,0.782,-0.298,1.378,0.184,1.4580000000000002,-0.134,-1.297,8
339,-4.694,3.229,-1.153,0.7020000000000001,0.452,0.298,0.4539999999999999,0.001,-0.264,-1.399,9
340,-3.012,1.628,-0.8340000000000001,0.975,-0.299,0.926,0.174,0.836,-0.239,-1.144,10
341,-3.268,-0.079,-0.693,0.763,1.043,1.194,0.892,-1.293,-1.033,0.1989999999999999,0
343,-2.693,0.7709999999999999,-0.87,1.341,0.317,0.925,-0.3279999999999999,-0.1689999999999999,-0.936,0.3989999999999999,2
344,-2.515,1.34,-0.84,0.511,-0.492,0.098,0.047,-0.68,-0.283,0.168,3
345,-2.882,2.165,-0.589,0.173,-1.165,0.0139999999999999,0.5710000000000001,0.502,-0.093,-0.616,4
346,-2.591,1.809,-0.659,-0.016,-0.6729999999999999,0.588,0.084,0.182,-0.094,-0.372,5
347,-3.354,2.85,-0.887,0.01,-0.551,0.293,0.901,0.32,-0.302,-1.023,6
348,-4.228,3.111,-0.38,1.16,-1.188,-0.362,0.516,0.507,0.669,-0.074,7
349,-3.901,2.485,-0.95,0.7020000000000001,-0.47,1.146,-0.109,1.597,0.146,-1.197,8
351,-3.0,1.524,-0.866,1.015,-0.4,0.861,0.174,0.938,-0.216,-1.01,10
352,-3.347,-0.159,-0.414,0.922,0.973,0.978,0.929,-1.211,-1.268,0.278,0
353,-3.518,0.716,-0.365,1.788,0.584,1.6780000000000002,-0.109,-0.016,-1.501,0.002,1
354,-2.875,0.868,-0.728,1.439,0.355,0.846,-0.3779999999999999,-0.233,-1.072,0.505,2
355,-2.612,1.403,-0.87,0.47,-0.4479999999999999,0.172,-0.06,-0.6559999999999999,-0.3339999999999999,0.087,3
356,-2.859,2.255,-0.6759999999999999,0.098,-1.086,0.0409999999999999,0.732,0.305,-0.141,-0.636,4
357,-2.497,1.692,-0.607,0.02,-0.71,0.612,0.093,0.272,-0.06,-0.507,5
358,-3.236,2.745,-0.8059999999999999,-0.2,-0.386,0.358,0.889,0.516,-0.297,-1.075,6
359,-4.188,3.229,-0.456,1.077,-1.385,-0.104,0.4589999999999999,0.5579999999999999,0.701,-0.32,7
360,-3.775,2.188,-1.017,0.687,-0.4639999999999999,1.189,-0.157,1.673,-0.024,-1.144,8
361,-4.744,3.385,-0.8859999999999999,0.5710000000000001,0.235,0.183,0.357,0.04,0.203,-1.68,9
363,-3.594,-0.1369999999999999,-0.0279999999999999,1.018,1.069,0.723,0.695,-0.982,-1.433,0.249,0
364,-3.426,0.584,-0.469,1.776,0.5660000000000001,1.686,0.07,0.081,-1.483,-0.141,1
365,-3.0860000000000003,1.01,-0.627,1.508,0.3379999999999999,0.747,-0.479,-0.3229999999999999,-1.087,0.645,2
366,-2.75,1.475,-0.848,0.364,-0.275,0.02,-0.003,-0.782,-0.291,0.1669999999999999,3
368,-2.511,1.511,-0.555,0.226,-0.735,0.631,-0.006,0.52,-0.138,-0.6509999999999999,5
369,-3.124,2.733,-0.857,-0.3339999999999999,-0.312,0.5870000000000001,0.8490000000000001,0.475,-0.174,-0.899,6
370,-4.175,3.32,-0.446,0.988,-1.48,0.133,0.507,0.605,0.691,-0.462,7
371,-3.777,2.064,-0.983,0.846,-0.373,0.96,-0.04,1.331,0.247,-1.09,8
372,-4.788,3.632,-0.71,0.3,0.366,-0.121,0.4029999999999999,-0.016,0.124,-1.32,9
373,-3.006,1.4069999999999998,-0.875,0.945,-0.495,0.721,0.212,0.75,-0.037,-1.054,10
374,-3.781,-0.011,0.102,1.115,1.036,0.6509999999999999,0.615,-1.082,-1.272,0.05,0
375,-3.394,0.557,-0.573,1.704,0.608,1.644,0.109,0.2,-1.507,-0.225,1
376,-3.091,0.935,-0.574,1.36,0.416,0.764,-0.48,-0.144,-1.295,0.696,2
377,-2.85,1.446,-0.792,0.482,-0.365,0.046,-0.0289999999999999,-0.7609999999999999,-0.251,0.113,3
378,-2.884,2.424,-0.764,-0.108,-1.015,0.361,0.7120000000000001,0.133,-0.017,-0.847,4
379,-2.656,1.263,-0.527,0.4639999999999999,-0.612,0.6679999999999999,-0.16,0.857,-0.416,-0.596,5
380,-3.2460000000000004,2.7960000000000003,-0.867,-0.205,-0.316,0.8079999999999999,0.8240000000000001,0.062,-0.118,-0.7490000000000001,6
381,-4.172,3.188,-0.375,1.028,-1.41,0.008,0.513,0.635,0.802,-0.28,7
382,-3.862,1.801,-0.7170000000000001,1.133,-0.23,0.922,-0.223,1.264,0.1939999999999999,-0.935,8
383,-4.836,3.871,-0.684,0.182,0.349,-0.176,0.317,0.059,-0.024,-1.13,9
384,-2.9730000000000003,1.304,-0.8490000000000001,0.984,-0.508,0.59,0.248,0.728,0.073,-1.107,10
385,-3.858,0.115,0.05,1.17,0.975,0.703,0.585,-1.1909999999999998,-1.172,-0.076,0
386,-3.404,0.506,-0.591,1.6269999999999998,0.66,1.456,0.068,0.381,-1.494,-0.4529999999999999,1
387,-2.952,0.777,-0.74,1.311,0.424,0.853,-0.319,-0.0819999999999999,-1.456,0.616,2
388,-3.005,1.472,-0.716,0.535,-0.392,0.054,-0.054,-0.6859999999999999,-0.29,0.153,3
390,-2.906,1.102,-0.491,0.575,-0.386,0.7709999999999999,-0.134,0.977,-0.54,-0.604,5
391,-3.462,2.648,-0.447,-0.0,-0.416,0.767,0.569,-0.072,-0.08,-0.7979999999999999,6
392,-4.0760000000000005,3.3360000000000003,-0.688,0.677,-1.472,0.461,0.682,0.7240000000000001,0.7170000000000001,-0.409,7
393,-3.846,1.426,-0.607,1.4340000000000002,-0.072,1.13,-0.535,1.159,-0.123,-0.385,8
394,-4.885,3.967,-0.948,0.373,0.255,-0.121,0.43,-0.013,0.018,-1.518,9
395,-2.98,1.29,-0.8420000000000001,0.955,-0.491,0.5720000000000001,0.267,0.6920000000000001,0.084,-1.1,10
396,-3.208,-0.608,-0.516,1.098,1.529,1.069,0.186,-0.947,-0.248,-0.059,0
397,-2.569,-0.11,-0.841,0.732,1.112,0.961,-0.075,0.148,-0.893,0.314,1
398,-2.21,0.6609999999999999,-0.581,1.139,0.238,0.074,-0.625,-0.366,-0.326,0.557,2
399,-1.885,2.214,-0.6729999999999999,0.147,-0.148,-0.4,0.252,-0.098,-0.8740000000000001,0.245,3
400,-2.488,2.822,-0.239,-0.33,-1.355,0.284,0.1009999999999999,0.934,-0.966,-0.31,4
401,-2.335,2.8960000000000004,-0.295,-0.42,-0.645,0.351,0.12,0.447,-1.126,0.11,5
402,-2.715,2.325,0.701,0.239,-1.426,-0.218,-0.317,1.516,-0.162,-0.703,6
404,-3.984,2.29,-0.103,-0.7070000000000001,0.297,0.317,0.857,1.403,-1.253,-0.298,8
405,-4.964,2.78,0.474,0.047,0.417,-0.3279999999999999,0.3339999999999999,0.474,-1.26,-0.221,9
406,-2.528,1.288,-0.144,-0.171,-0.077,0.26,-0.045,0.6809999999999999,-1.399,-0.066,10
407,-3.431,-0.5,-0.362,1.173,1.59,0.956,0.162,-0.853,-0.364,0.084,0
408,-2.659,-0.1009999999999999,-0.687,0.6970000000000001,1.081,1.045,-0.149,0.184,-0.927,0.327,1
409,-2.103,0.655,-0.84,1.195,0.377,0.135,-0.504,-0.5489999999999999,-0.4039999999999999,0.602,2
410,-1.926,2.172,-0.5710000000000001,0.257,-0.159,-0.493,0.27,-0.153,-0.6729999999999999,-0.005,3
411,-2.512,2.826,-0.171,-0.385,-1.495,0.381,0.067,0.899,-0.902,-0.412,4
413,-2.708,2.396,0.728,0.336,-1.4369999999999998,-0.344,-0.411,1.469,-0.022,-0.7170000000000001,6
414,-4.341,3.514,-0.4529999999999999,-1.047,-0.469,0.51,0.618,0.8009999999999999,-0.3989999999999999,-0.777,7
415,-4.045,2.193,0.2,-0.745,0.215,0.387,0.625,1.477,-1.207,-0.27,8
416,-5.02,2.551,0.562,-0.136,0.531,-0.064,0.373,0.631,-1.4069999999999998,-0.267,9
417,-2.665,1.633,-0.384,-0.111,-0.001,0.2339999999999999,0.033,0.478,-1.558,0.2189999999999999,10
418,-3.5860000000000003,-0.38,-0.359,1.307,1.587,0.99,0.18,-0.831,-0.471,0.198,0
419,-2.889,-0.039,-0.494,0.7190000000000001,1.104,1.003,-0.415,0.0969999999999999,-0.855,0.356,1
420,-2.282,0.6729999999999999,-0.7979999999999999,1.286,0.308,0.01,-0.411,-0.61,-0.266,0.584,2
421,-1.985,2.161,-0.601,0.424,-0.295,-0.489,0.208,-0.216,-0.562,0.079,3
422,-2.563,2.829,-0.283,-0.368,-1.5930000000000002,0.408,0.121,0.933,-0.946,-0.356,4
423,-2.415,2.517,-0.285,0.085,-0.902,0.283,0.302,0.247,-1.207,0.371,5
424,-2.776,2.563,0.532,0.2769999999999999,-1.47,-0.368,-0.278,1.479,-0.1639999999999999,-0.797,6
425,-4.384,3.721,-0.905,-0.965,-0.16,0.498,0.809,0.66,-0.613,-0.831,7
426,-4.107,2.17,0.206,-0.8109999999999999,0.3339999999999999,0.633,0.402,1.097,-1.327,-0.04,8
427,-5.069,2.119,0.826,-0.2739999999999999,0.5760000000000001,0.145,0.308,1.001,-1.412,-0.306,9
428,-2.812,1.954,-0.6609999999999999,0.109,-0.011,0.11,0.187,0.096,-1.538,0.5920000000000001,10
429,-3.76,-0.32,-0.24,1.273,1.751,1.125,0.23,-0.723,-0.501,0.315,0
430,-3.152,0.086,-0.325,0.868,1.084,0.753,-0.522,-0.005,-0.821,0.483,1
431,-2.5580000000000003,0.755,-0.66,1.366,0.038,-0.011,-0.4429999999999999,-0.531,-0.062,0.418,2
432,-2.01,2.164,-0.626,0.389,-0.24,-0.441,0.103,-0.27,-0.647,0.165,3
433,-2.6010000000000004,2.735,-0.322,-0.255,-1.67,0.2289999999999999,0.2019999999999999,1.01,-0.871,-0.461,4
435,-2.922,2.6210000000000004,0.214,0.122,-1.477,-0.173,0.045,1.38,-0.635,-0.757,6
436,-4.417,3.765,-1.225,-0.853,0.0409999999999999,0.536,0.885,0.5329999999999999,-0.757,-0.789,7
437,-4.07,2.254,-0.28,-0.722,0.696,0.6829999999999999,0.243,0.6890000000000001,-1.45,0.19,8
438,-5.08,2.241,0.971,-0.374,0.501,0.226,0.144,0.851,-1.319,-0.3,9
439,-2.93,2.014,-0.7,0.206,-0.088,0.153,0.142,-0.031,-1.4369999999999998,0.615,10
440,-4.247,-0.034,0.248,1.372,1.831,1.167,0.087,-0.518,-0.316,0.347,0
441,-3.1830000000000003,0.154,-0.413,0.923,1.091,0.5820000000000001,-0.447,-0.085,-0.904,0.693,1
442,-2.514,0.5579999999999999,-0.777,1.2990000000000002,0.027,0.247,-0.487,-0.653,-0.0279999999999999,0.481,2
443,-2.041,2.119,-0.585,0.5489999999999999,-0.43,-0.291,-0.002,-0.2339999999999999,-0.7509999999999999,0.253,3
444,-2.64,2.704,-0.345,-0.23,-1.649,0.064,0.275,0.952,-0.6509999999999999,-0.5710000000000001,4
445,-2.729,2.104,-0.505,0.138,-0.5329999999999999,0.455,0.148,-0.407,-1.0590000000000002,0.625,5
446,-3.025,2.7110000000000003,-0.147,-0.034,-1.34,0.049,0.364,1.099,-1.02,-0.652,6
447,-4.415,3.737,-1.3130000000000002,-0.815,0.168,0.59,0.975,0.42,-0.825,-0.748,7
448,-4.0360000000000005,2.141,-0.355,-0.602,0.8370000000000001,0.6629999999999999,-0.013,0.507,-1.412,0.21,8
449,-5.158,2.488,1.064,-0.3429999999999999,0.352,0.18,-0.05,0.8170000000000001,-1.308,-0.249,9
450,-2.907,1.992,-0.904,0.205,0.011,0.346,-0.031,-0.148,-1.262,0.487,10
452,-3.096,0.103,-0.452,0.879,1.067,0.497,-0.296,-0.067,-0.973,0.711,1
453,-2.452,0.2789999999999999,-0.805,1.141,0.239,0.176,-0.104,-0.752,-0.3339999999999999,0.731,2
454,-2.081,2.043,-0.521,0.578,-0.4629999999999999,-0.246,-0.0409999999999999,-0.162,-0.8140000000000001,0.425,3
455,-2.658,2.739,-0.382,-0.31,-1.64,0.081,0.276,0.884,-0.535,-0.5479999999999999,4
456,-2.982,2.001,-0.915,0.188,0.035,0.467,-0.13,-0.6890000000000001,-0.684,0.664,5
457,-3.0980000000000003,2.525,-0.316,-0.322,-1.082,0.285,0.445,0.847,-0.951,-0.7070000000000001,6
458,-4.4030000000000005,3.602,-0.945,-0.934,0.0409999999999999,0.409,1.003,0.47,-0.477,-0.621,7
459,-4.2,2.201,-0.31,-0.392,0.968,0.7,-0.3279999999999999,0.129,-0.8959999999999999,0.15,8
460,-5.211,2.544,0.82,-0.3329999999999999,0.447,0.226,0.127,0.89,-1.389,-0.304,9
461,-2.752,1.778,-0.718,0.057,-0.009,0.402,0.121,0.05,-1.435,0.281,10
462,-5.058,2.236,1.381,1.885,-0.259,-0.483,-0.562,0.123,-0.063,0.6629999999999999,0
463,-4.181,1.646,0.736,1.286,0.7240000000000001,-0.511,-1.126,-0.45,-0.648,0.995,1
464,-3.753,0.828,-0.042,1.406,0.209,-0.53,-0.52,-0.4,-0.386,1.07,2
465,-3.494,1.207,-0.607,0.242,-0.43,0.131,0.236,0.545,-0.593,0.6779999999999999,3
466,-2.813,2.327,-1.246,-0.184,-0.755,0.491,1.202,-0.5579999999999999,-0.669,0.054,4
467,-3.133,1.983,-1.398,0.254,-0.667,0.532,0.389,-0.178,-0.584,0.8440000000000001,5
468,-3.749,3.018,-0.755,-0.452,-0.6659999999999999,0.209,0.741,0.9,-1.6130000000000002,0.128,6
469,-4.373,4.643,-0.792,-1.332,-0.2019999999999999,0.597,0.192,1.133,-1.131,-0.28,7
470,-4.468,4.121,-0.42,-1.197,0.3379999999999999,0.6,-0.11,0.314,-1.248,-0.012,8
471,-4.902,4.49,-0.564,-0.536,-0.1639999999999999,-0.298,0.8420000000000001,-0.158,-0.906,0.358,9
472,-4.125,2.3,-0.1669999999999999,-0.27,0.103,0.32,-0.467,-0.254,-0.415,0.863,10
473,-5.124,2.319,1.413,1.804,-0.2769999999999999,-0.33,-0.746,0.221,0.06,0.46,0
474,-4.393,2.137,0.57,1.3969999999999998,0.293,-0.836,-0.966,-0.461,-0.2769999999999999,1.1840000000000002,1
475,-3.961,1.078,0.11,1.232,0.21,-0.67,-0.536,-0.33,-0.268,1.098,2
476,-3.654,1.222,-0.574,0.248,-0.299,0.158,0.154,0.5529999999999999,-0.58,0.617,3
477,-3.0010000000000003,2.263,-1.178,-0.1159999999999999,-0.922,0.536,1.286,-0.506,-0.5660000000000001,-0.102,4
478,-3.417,1.984,-1.148,0.2339999999999999,-0.778,0.411,0.494,0.13,-0.7040000000000001,0.764,5
479,-3.887,3.172,-0.7390000000000001,-0.69,-0.5479999999999999,0.33,0.569,0.98,-1.609,0.283,6
480,-4.474,4.569,-1.069,-1.409,0.1369999999999999,1.0490000000000002,0.071,0.877,-1.355,-0.1669999999999999,7
481,-4.471,4.096,-0.809,-0.8809999999999999,0.6459999999999999,0.539,0.04,0.142,-1.555,-0.023,8
482,-4.947,4.637,-0.444,-0.953,-0.119,-0.249,0.594,0.27,-0.7829999999999999,0.265,9
483,-4.173,2.299,-0.298,-0.13,0.122,0.319,-0.3879999999999999,-0.3279999999999999,-0.48,0.99,10
484,-5.131,2.192,1.364,1.936,-0.591,-0.354,-0.677,0.15,0.178,0.38,0
486,-4.058,1.072,0.157,1.136,0.385,-0.687,-0.583,-0.185,-0.3,1.177,2
487,-3.631,1.195,-0.7190000000000001,0.13,-0.065,0.348,-0.061,0.555,-0.594,0.8059999999999999,3
488,-3.434,2.26,-1.065,-0.122,-0.795,0.363,1.403,-0.507,-0.375,0.015,4
489,-3.765,1.97,-0.955,0.304,-0.735,0.41,0.38,0.146,-0.536,0.738,5
490,-3.975,3.0660000000000003,-0.506,-0.8270000000000001,-0.478,0.434,0.356,0.939,-1.3090000000000002,0.204,6
492,-4.475,4.064,-0.927,-0.6779999999999999,0.599,0.445,0.2239999999999999,0.103,-1.336,-0.192,8
494,-4.151,2.069,-0.605,0.111,0.41,0.354,-0.284,-0.381,-0.507,0.737,10
495,-5.125,2.077,1.283,2.003,-0.7340000000000001,-0.513,-0.557,0.055,0.295,0.2689999999999999,0
496,-4.316,1.409,0.441,1.819,0.5,-0.617,-0.633,-0.621,-0.6709999999999999,1.193,1
497,-4.149,1.129,-0.008,1.215,0.39,-0.474,-0.4,-0.3429999999999999,-0.344,0.8859999999999999,2
498,-3.5810000000000004,1.188,-0.958,0.1889999999999999,-0.077,0.451,0.049,0.449,-0.6759999999999999,0.919,3
499,-3.828,2.367,-0.836,-0.3429999999999999,-0.466,0.1159999999999999,1.172,-0.175,-0.275,0.1169999999999999,4
500,-3.82,1.705,-1.13,0.45,-0.471,0.665,0.298,-0.175,-0.473,0.848,5
501,-3.949,2.99,-0.643,-0.986,-0.175,0.768,0.249,0.8029999999999999,-1.479,0.168,6
502,-4.471,4.461,-1.887,-0.799,0.7190000000000001,0.938,0.239,0.342,-1.036,-0.06,7
503,-4.58,4.1160000000000005,-0.753,-0.8490000000000001,0.516,0.498,0.1169999999999999,0.181,-1.256,-0.119,8
504,-5.049,4.846,-0.6779999999999999,-0.877,-0.09,0.005,0.253,-0.078,-0.178,0.131,9
505,-4.115,1.856,-0.738,0.132,0.6579999999999999,0.3289999999999999,-0.252,-0.123,-0.53,0.456,10
506,-5.143,2.051,1.216,1.898,-0.555,-0.466,-0.8420000000000001,0.011,0.461,0.193,0
507,-4.4030000000000005,1.409,0.551,1.496,0.6729999999999999,-0.616,-0.787,-0.382,-0.696,1.139,1
508,-4.316,1.272,-0.087,1.285,0.126,-0.128,-0.286,-0.4629999999999999,-0.294,0.691,2
509,-3.622,1.111,-0.972,0.3989999999999999,-0.402,0.527,0.271,0.373,-0.716,0.943,3
510,-3.85,2.28,-1.055,-0.335,-0.1639999999999999,0.41,0.913,-0.391,-0.3379999999999999,0.26,4
511,-3.962,1.724,-1.29,0.531,-0.17,0.528,0.282,-0.149,-0.603,1.139,5
512,-3.894,2.91,-0.968,-0.6709999999999999,-0.131,0.519,0.591,0.708,-1.515,0.121,6
513,-4.468999999999999,4.348,-1.74,-0.8859999999999999,0.447,0.883,0.374,0.5770000000000001,-0.908,-0.089,7
514,-4.6610000000000005,4.235,-0.497,-1.021,0.295,0.457,-0.019,0.345,-1.355,0.062,8
515,-5.04,5.074,-1.721,-0.264,0.2789999999999999,0.176,0.003,-0.609,-0.177,0.422,9
516,-4.169,1.7990000000000002,-0.621,0.025,0.706,0.362,-0.3429999999999999,-0.049,-0.3389999999999999,0.22,10
517,-5.105,1.968,1.14,1.719,-0.4429999999999999,-0.432,-0.969,-0.173,0.551,0.176,0
518,-4.544,1.672,0.643,1.281,0.504,-0.8029999999999999,-0.7090000000000001,-0.2289999999999999,-0.546,1.058,1
519,-4.426,1.167,0.008,1.315,0.1889999999999999,-0.297,-0.124,-0.244,-0.423,0.684,2
520,-3.622,0.988,-1.108,0.685,-0.693,0.754,0.442,0.166,-0.4579999999999999,0.738,3
521,-3.597,2.146,-1.492,-0.142,-0.297,0.815,0.87,-0.49,-0.471,0.41,4
522,-4.122,1.735,-1.34,0.615,0.03,0.353,0.345,-0.104,-0.54,0.988,5
523,-4.065,2.8760000000000003,-0.856,-0.221,-0.5329999999999999,0.2319999999999999,0.855,0.633,-1.452,0.272,6
525,-4.651,4.246,-0.823,-0.831,0.6659999999999999,0.546,-0.3,0.094,-1.3430000000000002,0.185,8
526,-5.034,4.993,-1.633,-0.285,0.3979999999999999,0.181,-0.211,-0.508,-0.283,0.304,9
527,-4.261,1.827,-0.482,-0.1939999999999999,0.731,0.354,-0.478,0.05,-0.1119999999999999,0.321,10
528,-1.149,-0.904,-1.988,0.7390000000000001,-0.06,1.206,0.8640000000000001,1.196,-0.3,-0.467,0
530,-2.505,0.632,-0.593,0.304,0.496,0.8240000000000001,-0.162,0.181,-0.363,-0.764,2
531,-1.768,1.769,-1.142,-0.7390000000000001,-0.086,0.12,-0.23,0.217,-0.009,-0.2789999999999999,3
532,-2.6710000000000003,3.155,-0.514,0.133,-0.964,0.2339999999999999,-0.071,1.192,0.254,-0.471,4
533,-2.509,1.3259999999999998,0.354,0.6629999999999999,-0.7240000000000001,0.418,-0.496,0.713,0.638,-0.204,5
534,-2.764,1.111,0.727,1.54,-0.855,0.261,-1.11,0.2269999999999999,0.42,0.991,6
536,-3.839,1.248,0.83,0.982,-1.11,0.617,-0.7509999999999999,0.084,0.309,1.125,8
537,-4.982,1.538,0.96,1.253,-0.64,0.588,-0.484,-0.31,-0.246,1.18,9
538,-2.895,0.682,-0.151,0.218,-0.6890000000000001,1.118,-0.264,0.922,0.757,0.327,10
539,-1.093,-0.922,-2.091,0.8440000000000001,0.009,1.247,0.8909999999999999,1.453,-0.089,-0.4,0
540,-2.499,0.119,-0.82,0.346,0.347,1.696,0.245,0.6890000000000001,-0.084,-0.596,1
541,-2.633,0.672,-0.372,0.439,0.437,0.907,-0.402,-0.04,-0.366,-0.741,2
